Year,Team,Sample,Tm.FT_Perc,GMS,W,L,Tm.Pts,Opp.Pts
1994,NYK,Annual,0.745827372,82,57,25,8076,7503
1994,ORL,Annual,0.677749361,82,50,32,8666,8347
1994,PHI,Annual,0.714488636,82,25,57,8033,8658
1994,PHO,Annual,0.727509778,82,56,26,8876,8479
1994,POR,Annual,0.743322204,82,47,35,8795,8579
1994,SAC,Annual,0.731239092,82,28,54,8291,8764
1994,SAS,Annual,0.742445374,82,55,27,8202,7771
1994,SEA,Annual,0.745155855,82,63,19,8687,7942
1994,UTA,Annual,0.740226986,82,53,29,8354,8008
1994,WSB,Annual,0.748381129,82,24,58,8229,8834
1995,ATL,Annual,0.723819302,82,42,40,7921,7816
1995,BOS,Annual,0.75308642,82,35,47,8428,8582
1995,CHH,Annual,0.777179236,82,50,32,8249,7980
1995,CHI,Annual,0.726392252,82,47,35,8325,7929
1995,CLE,Annual,0.760343088,82,43,39,7417,7366
1995,DAL,Annual,0.733936652,82,36,46,8462,8700
1995,DEN,Annual,0.737527115,82,41,41,8309,8240
1995,DET,Annual,0.741370428,82,28,54,8053,8651
1995,GSW,Annual,0.704384134,82,26,56,8667,9111
1995,HOU,Annual,0.748896518,82,47,35,8491,8317
1995,IND,Annual,0.751464435,82,52,30,8136,7833
1995,LAC,Annual,0.70995671,82,17,65,7927,8678
1995,LAL,Annual,0.73503861,82,48,34,8616,8634
1995,MIA,Annual,0.735583685,82,32,50,8293,8427
1995,MIL,Annual,0.711819389,82,34,48,8146,8504
1995,MIN,Annual,0.774522293,82,21,61,7726,8464
1995,NJN,Annual,0.759219089,82,30,52,8042,8299
1995,NYK,Annual,0.734153264,82,55,27,8054,7799
1995,ORL,Annual,0.668559838,82,57,25,9091,8512
1995,PHI,Annual,0.737411765,82,24,58,7820,8236
1995,PHO,Annual,0.755527211,82,59,23,9073,8755
1995,POR,Annual,0.697309417,82,44,38,8451,8138
1995,SAC,Annual,0.710832974,82,39,43,8056,8138
1995,SAS,Annual,0.738238842,82,62,20,8742,8253
1995,SEA,Annual,0.758190328,82,57,25,9055,8384
1995,UTA,Annual,0.780910189,82,60,22,8726,8071
1995,WSB,Annual,0.72379533,82,21,61,8242,8701
1996,ATL,Annual,0.75695825,82,46,36,8059,7959
1996,BOS,Annual,0.713660245,82,33,49,8495,8774
1996,CHH,Annual,0.76970269,82,41,41,8431,8478
1996,CHI,Annual,0.746007984,82,72,10,8625,7621
1996,CLE,Annual,0.763380282,82,47,35,7473,7261
1996,DAL,Annual,0.722025316,82,26,56,8409,8811
1996,DEN,Annual,0.742751956,82,35,47,8013,8235
1996,DET,Annual,0.751133273,82,46,36,7822,7617
1996,GSW,Annual,0.758547009,82,36,46,8334,8453
1996,HOU,Annual,0.764957265,82,48,34,8404,8261
1996,IND,Annual,0.75455298,82,52,30,8144,7878
1996,LAC,Annual,0.701612903,82,29,53,8153,8448
1996,LAL,Annual,0.746217667,82,53,29,8438,8073
1996,MIA,Annual,0.710105167,82,42,40,7909,7792
1996,MIL,Annual,0.737722048,82,25,57,7837,8272
1996,MIN,Annual,0.776577355,82,26,56,8024,8463
1996,NJN,Annual,0.745098039,82,30,52,7684,8031
1996,NYK,Annual,0.757420676,82,47,35,7971,7781
1996,ORL,Annual,0.691308244,82,60,22,8571,8115
1996,PHI,Annual,0.734423332,82,18,64,7746,8566
1996,PHO,Annual,0.771440129,82,41,41,8552,8525
1996,POR,Annual,0.662214563,82,44,38,8145,7952
1996,SAC,Annual,0.73078521,82,39,43,8163,8385
1996,SAS,Annual,0.735515259,82,59,23,8477,7960
1996,SEA,Annual,0.760313531,82,64,18,8572,7933
1996,TOR,Annual,0.722990271,82,21,61,7994,8610
1996,UTA,Annual,0.768462207,82,55,27,8404,7864
1996,VAN,Annual,0.723723724,82,15,67,7362,8180
1996,WSB,Annual,0.727842004,82,39,43,8408,8321
1997,ATL,Annual,0.762659847,82,56,26,7774,7328
1997,BOS,Annual,0.749886312,82,15,67,8248,8849
1997,CHH,Annual,0.77671371,82,54,28,8108,7955
1997,CHI,Annual,0.747294372,82,69,13,8458,7572
1997,CLE,Annual,0.723068246,82,42,40,7173,7022
1997,DAL,Annual,0.716892596,82,24,58,7431,7952
1997,DEN,Annual,0.761044177,82,21,61,8020,8535
1997,DET,Annual,0.745363409,82,54,28,7723,7293
1997,GSW,Annual,0.777981651,82,30,52,8171,8557
1997,HOU,Annual,0.754518072,82,57,25,8248,7881
1997,IND,Annual,0.722174658,82,39,43,7819,7739
1997,LAC,Annual,0.731436837,82,36,46,7969,8162
1997,LAL,Annual,0.692274678,82,56,26,8200,7850
1997,MIA,Annual,0.71909001,82,61,21,7776,7326
1997,MIL,Annual,0.741444867,82,33,49,7818,7973
1997,MIN,Annual,0.750917431,82,40,42,7882,8003
1997,NJN,Annual,0.739537174,82,26,56,7974,8348
1997,NYK,Annual,0.747994337,82,57,25,7819,7563
1997,ORL,Annual,0.746329114,82,45,37,7719,7748
1997,PHI,Annual,0.724897959,82,22,60,8215,8751
1997,PHO,Annual,0.761411765,82,40,42,8431,8377
1997,POR,Annual,0.71340115,82,49,33,8114,7772
1997,SAC,Annual,0.722786647,82,34,48,7908,8185
1997,SAS,Annual,0.718506998,82,20,62,7418,8064
1997,SEA,Annual,0.751633987,82,57,25,8274,7644
1997,TOR,Annual,0.720119522,82,30,52,7829,8085
1997,UTA,Annual,0.769039735,82,64,18,8454,7733
1997,VAN,Annual,0.709342561,82,14,68,7313,8152
1997,WSB,Annual,0.707427994,82,44,38,8147,8014
1998,ATL,Annual,0.755834054,82,50,32,7860,7572
1998,BOS,Annual,0.725560081,82,36,46,7864,8079
1998,CHH,Annual,0.750686185,82,51,31,7923,7759
1998,CHI,Annual,0.742658039,82,62,20,7931,7348
1998,CLE,Annual,0.755829904,82,47,35,7585,7361
1998,DAL,Annual,0.752589183,82,20,62,7494,7995
1998,DEN,Annual,0.772240335,82,11,71,7300,8266
1998,DET,Annual,0.744755245,82,37,45,7721,7592
1998,GSW,Annual,0.710251046,82,19,63,7237,7985
1998,HOU,Annual,0.770754717,82,41,41,8099,8161
1998,IND,Annual,0.763576779,82,58,24,7874,7375
1998,LAC,Annual,0.723009282,82,17,65,7865,8469
1998,LAL,Annual,0.679183376,82,61,21,8652,8017
1998,MIA,Annual,0.739193084,82,55,27,7787,7383
1998,MIL,Annual,0.767420397,82,36,46,7748,7905
1998,MIN,Annual,0.742565468,82,45,37,8290,8232
1998,NJN,Annual,0.7443641,82,43,39,8170,8041
1998,NYK,Annual,0.772075055,82,43,39,7509,7307
1998,ORL,Annual,0.725912067,82,41,41,7387,7475
1998,PHI,Annual,0.737244898,82,31,51,7651,7847
1998,PHO,Annual,0.748973306,82,56,26,8166,7741
1998,POR,Annual,0.736747529,82,46,36,7734,7619
1998,SAC,Annual,0.687022901,82,27,55,7637,8095
1998,SAS,Annual,0.688077634,82,56,26,7587,7260
1998,SEA,Annual,0.721194879,82,61,21,8246,7658
1998,TOR,Annual,0.717961165,82,16,66,7781,8541
1998,UTA,Annual,0.773071104,82,62,20,8279,7743
1998,VAN,Annual,0.739393939,82,19,63,7923,8522
1998,WAS,Annual,0.690630798,82,42,40,7969,7921
1999,ATL,Annual,0.731364276,50,31,19,4315,4170
1999,BOS,Annual,0.691736305,50,19,31,4650,4743
1999,CHH,Annual,0.747109827,50,26,24,4644,4649
1999,CHI,Annual,0.708860759,50,13,37,4095,4568
1999,CLE,Annual,0.749262537,50,22,28,4322,4408
1999,DAL,Annual,0.728099174,50,19,31,4581,4701
1999,DEN,Annual,0.762264151,50,14,36,4674,5004
1999,DET,Annual,0.740452065,50,29,21,4518,4347
1999,GSW,Annual,0.675744681,50,21,29,4416,4541
